StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q2,Q2_3_TEXT,Q3,Q3_6_TEXT,Q4,Q4_6_TEXT,Q6_NPS_GROUP,Q6,Q5,Q7,Q8_NPS_GROUP,Q8,Q10_First Click,Q10_Last Click,Q10_Page Submit,Q10_Click Count,Quiz1,Quiz2,Quiz3,Quiz4,Quiz5,Quiz6,Quiz7,Q8_1,Q8_2,SC0,Q3_6_TEXT - Topics,Q3_6_TEXT - Parent Topics
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Please specify your year of birth,What gender do you identify as? - Selected Choice,What gender do you identify as? - Prefer to self-describe - Text,Please specify your ethnicity - Selected Choice,Please specify your ethnicity - Other (please specify) - Text,What is the highest degree or level of education you have completed? - Selected Choice,What is the highest degree or level of education you have completed? - Other (please specify) - Text,How would you rate your health in general? - Group,How would you rate your health in general?,Do you currently have health insurance?,How often do you get a health checkup?,Would you agree that it is important for everyone to get an influenza (flu) vaccine each year? - Group,Would you agree that it is important for everyone to get an influenza (flu) vaccine each year?,How Does Flu Make You Sick? - First Click,How Does Flu Make You Sick? - Last Click,How Does Flu Make You Sick? - Page Submit,How Does Flu Make You Sick? - Click Count,Influenza is caused by,How does the flu spread?,What chance does a healthy person have of getting the flu during an average year?,How long are you contagious once you have the flu?,You can get the flu from a flu shot.,What is the best time of year for a person to be vaccinated against influenza?,How many hospitalizations were caused by the flu in 2018-2019?,"How would you like us to allocate a $1 donation to the following non-profits on your behalf?


	The National Foundation for Infectious Diseases, an organization dedicated to educating the public and healthcare professionals about the burden, causes, prevention, diagnosis, and treatment of infectious diseases.
	NAMI, or National Alliance on Mental Health, an organization dedicated to improving the quality of life for people with mental illness and their families through support, education, and advocacy. - National Foundation for Infectious Diseases","How would you like us to allocate a $1 donation to the following non-profits on your behalf?


	The National Foundation for Infectious Diseases, an organization dedicated to educating the public and healthcare professionals about the burden, causes, prevention, diagnosis, and treatment of infectious diseases.
	NAMI, or National Alliance on Mental Health, an organization dedicated to improving the quality of life for people with mental illness and their families through support, education, and advocacy. - National Alliance on Mental Health",Score,Q3_6_TEXT - Topics,Q3_6_TEXT - Parent Topics
"{""""ImportId"""":""""startDate"""",""""timeZone"""":""""America/Denver""""}","{""""ImportId"""":""""endDate"""",""""timeZone"""":""""America/Denver""""}","{""""ImportId"""":""""status""""}","{""""ImportId"""":""""ipAddress""""}","{""""ImportId"""":""""progress""""}","{""""ImportId"""":""""duration""""}","{""""ImportId"""":""""finished""""}","{""""ImportId"""":""""recordedDate"""",""""timeZone"""":""""America/Denver""""}","{""""ImportId"""":""""_recordId""""}","{""""ImportId"""":""""recipientLastName""""}","{""""ImportId"""":""""recipientFirstName""""}","{""""ImportId"""":""""recipientEmail""""}","{""""ImportId"""":""""externalDataReference""""}","{""""ImportId"""":""""locationLatitude""""}","{""""ImportId"""":""""locationLongitude""""}","{""""ImportId"""":""""distributionChannel""""}","{""""ImportId"""":""""userLanguage""""}","{""""ImportId"""":""""QID1_TEXT""""}","{""""ImportId"""":""""QID3""""}","{""""ImportId"""":""""QID3_3_TEXT""""}","{""""ImportId"""":""""QID4""""}","{""""ImportId"""":""""QID4_6_TEXT""""}","{""""ImportId"""":""""QID5""""}","{""""ImportId"""":""""QID5_6_TEXT""""}","{""""ImportId"""":""""QID6_NPS_GROUP""""}","{""""ImportId"""":""""QID6""""}","{""""ImportId"""":""""QID25""""}","{""""ImportId"""":""""QID7""""}","{""""ImportId"""":""""QID8_NPS_GROUP""""}","{""""ImportId"""":""""QID8""""}","{""""ImportId"""":""""QID13_FIRST_CLICK""""}","{""""ImportId"""":""""QID13_LAST_CLICK""""}","{""""ImportId"""":""""QID13_PAGE_SUBMIT""""}","{""""ImportId"""":""""QID13_CLICK_COUNT""""}","{""""ImportId"""":""""QID17""""}","{""""ImportId"""":""""QID14""""}","{""""ImportId"""":""""QID18""""}","{""""ImportId"""":""""QID15""""}","{""""ImportId"""":""""QID12""""}","{""""ImportId"""":""""QID20""""}","{""""ImportId"""":""""QID22""""}","{""""ImportId"""":""""QID11_1""""}","{""""ImportId"""":""""QID11_2""""}","{""""ImportId"""":""""SC_eQhUDdCqmmcx6dL""""}","{""""ImportId"""":""""QID4_6_TEXT_c3f5b061ec554cb4be881486Topics""""}","{""""ImportId"""":""""QID4_6_TEXT_c3f5b061ec554cb4be881486ParTopics""""}"
2020-03-07 11:16:23,2020-03-07 11:19:10,IP Address,128.125.148.20,100,166,True,2020-03-07 11:19:10,R_3LX5pIMMEMssNLZ,"","","","",34.032196044921875,-118.283599853515625,anonymous,EN,2000,Male,"",White,"",High School degree or equivalent,"",Passive,8,Yes,Once a year,Promoter,9,"","","","",A virus,Through the air or by touching an infected surface,Between 40 and 50 percent,1 day before symptoms start and up to 1 week after becoming sick,False,"In autumn, just before the peak flu season","500,000",0.5,0.5,6,"",""
2020-03-07 11:18:21,2020-03-07 11:22:06,IP Address,63.249.50.99,100,225,True,2020-03-07 11:22:06,R_3qBur8kpwO8AtIZ,"","","","",34.0543975830078125,-118.2440032958984375,anonymous,EN,1993,Female,"",Other (please specify),Hispanic,Bachelor’s degree,"",Passive,7,Yes,Only when necessary,Promoter,10,94.312,94.312,95.319,1,"","","","","","","",0.5,0.5,0,"",""
2020-03-07 11:23:38,2020-03-07 11:25:08,IP Address,24.7.92.86,100,90,True,2020-03-07 11:25:08,R_3lRe749CBxcuAIY,"","","","",37.6873016357421875,-121.89569854736328125,anonymous,EN,1962,Male,"",Other (please specify),Middle eastern ,Doctorate,"",Passive,8,Yes,Once a year,Detractor,3,"","","","","","","","","","","",1,0,0,"",""
2020-03-07 11:22:55,2020-03-07 11:29:14,IP Address,107.77.211.226,100,379,True,2020-03-07 11:29:14,R_1q2EYNpRFjAu2vi,"","","","",37.6735992431640625,-122.09439849853515625,anonymous,EN,1994,Female,"",White,"",Bachelor’s degree,"",Detractor,6,Yes,Only when necessary,Promoter,10,"","","","",A virus,Through the air or by touching an infected surface,Between 10 and 20 percent,1 day before symptoms start and up to 1 week after becoming sick,False,"In autumn, just before the peak flu season","500,000",0,1,7,"",""
2020-03-07 11:31:29,2020-03-07 11:34:16,IP Address,23.243.5.219,100,166,True,2020-03-07 11:34:17,R_2a8hADnECEUcwpd,"","","","",33.95599365234375,-118.388702392578125,anonymous,EN,1959,Female,"",White,"",Bachelor’s degree,"",Promoter,9,Yes,Once in 6 months,Promoter,10,69.844,69.844,71.485,1,"","","","","","","",0,1,0,"",""
2020-03-07 11:42:44,2020-03-07 11:45:45,IP Address,47.149.218.253,100,181,True,2020-03-07 11:45:46,R_1BYgHMc0gARcT20,"","","","",33.761505126953125,-118.07630157470703125,anonymous,EN,1963,Female,"",White,"",Master’s degree,"",Detractor,6,Yes,Once a year,Passive,8,0,0,98.187,0,"","","","","","","",0.2,0.8,0,"",""
2020-03-07 11:45:43,2020-03-07 11:46:55,IP Address,174.193.197.172,100,71,True,2020-03-07 11:46:55,R_3CK23jHTF1Jmjwt,"","","","",34.10040283203125,-118.2946014404296875,anonymous,EN,1994,Female,"",Other (please specify),White and Asian,Bachelor’s degree,"",Promoter,10,Yes,Once a year,Promoter,9,"","","","","","","","","","","",0.13,0.87,0,"",""
2020-03-07 11:50:23,2020-03-07 11:51:51,IP Address,71.193.196.139,100,87,True,2020-03-07 11:51:51,R_2fjNvkQbdj9pQIM,"","","","",45.5287933349609375,-122.682098388671875,anonymous,EN,1993,Female,"",Other (please specify),Middle-Eastern,Bachelor’s degree,"",Passive,8,Yes,Once a year,Promoter,10,0,0,3.461,0,"","","","","","","",0.5,0.5,0,"",""
2020-03-07 11:49:56,2020-03-07 11:53:53,IP Address,76.168.96.238,100,237,True,2020-03-07 11:53:54,R_9KU2ob1tq9k3g0F,"","","","",34.1056976318359375,-118.3285980224609375,anonymous,EN,1997,Female,"",Hispanic or Latino,"",Bachelor’s degree,"",Promoter,9,Yes,Only when necessary,Passive,8,"","","","",A virus,Through the air or by touching an infected surface,Between 70 and 80 percent,1 day before symptoms start and up to 1 week after becoming sick,False,"In autumn, just before the peak flu season","100,000",0.2,0.8,5,"",""
2020-03-07 11:52:49,2020-03-07 11:54:09,IP Address,174.203.14.41,100,79,True,2020-03-07 11:54:09,R_3fZXAlxrZte1T5V,"","","","",40.8000030517578125,-73.9763031005859375,anonymous,EN,1983,Female,"",White,"",Bachelor’s degree,"",Passive,8,Yes,Only when necessary,Passive,7,"","","","",A virus,Through the air or by touching an infected surface,Between 70 and 80 percent,3-4 days after becoming sick,True,"In autumn, just before the peak flu season","100,000",0.62,0.38,3,"",""
2020-03-07 11:55:56,2020-03-07 11:57:10,IP Address,76.168.96.238,100,73,True,2020-03-07 11:57:10,R_1OTRGo4465o0nyq,"","","","",34.1056976318359375,-118.3285980224609375,anonymous,EN,1997,Female,"",White,"",Bachelor’s degree,"",Passive,8,Yes,Only when necessary,Detractor,3,"","","","","","","","","","","",0,1,0,"",""
2020-03-07 11:53:40,2020-03-07 12:01:28,IP Address,23.243.5.219,100,467,True,2020-03-07 12:01:28,R_1HklJrTYkp5kJZg,"","","","",33.95599365234375,-118.388702392578125,anonymous,EN,2004,Female,"",Other (please specify),"Latina, Asian, White",Less than a high school diploma,"",Promoter,9,Yes,Once in 6 months,Promoter,10,"","","","",A virus,Through the air or by touching an infected surface,Between 10 and 20 percent,1 day before symptoms start and up to 1 week after becoming sick,True,"In autumn, just before the peak flu season","500,000",0,1,6,"",""
2020-03-07 12:00:10,2020-03-07 12:02:03,IP Address,69.181.111.110,100,113,True,2020-03-07 12:02:04,R_2OUdFQFVzLtCSd3,"","","","",37.25390625,-122.0637969970703125,anonymous,EN,"",Male,"",Asian,"",Master’s degree,"",Promoter,9,Yes,Once a year,Promoter,10,"","","","","","","","","","","",0.5,0.5,0,"",""
2020-03-07 12:00:13,2020-03-07 12:02:06,IP Address,76.168.154.37,100,113,True,2020-03-07 12:02:06,R_22z6Kf8DHsYbklg,"","","","",34.076202392578125,-118.3029022216796875,anonymous,EN,1997,Female,"",Asian,"",Bachelor’s degree,"",Detractor,6,Yes,Once a year,Detractor,5,59.659,59.991,61.969,2,"","","","","","","",0,1,0,"",""
